,Data,Volume (Mmc)
0,2018-01-01,6.82
1,2018-02-01,9.39
2,2018-03-01,18.1
3,2018-04-01,22.75
4,2018-05-01,22.77
5,2018-06-01,22.38
6,2018-07-01,23.97
7,2018-08-01,15.88
8,2018-09-01,12.87
9,2018-10-01,10.96
10,2018-11-01,9.27
11,2018-12-01,13.2
12,2019-01-01,20.16
13,2019-02-01,23.79
14,2019-03-01,22.29
15,2019-04-01,19.19
16,2019-05-01,16.46
17,2019-06-01,17.18
18,2019-07-01,15.2
19,2019-08-01,13.07
20,2019-09-01,10.81
21,2019-10-01,8.86
22,2019-11-01,6.91
23,2019-12-01,9.83
24,2020-01-01,15.71
25,2020-02-01,15.73
26,2020-03-01,15.67
27,2020-04-01,20.81
28,2020-05-01,22.01
29,2020-06-01,20.55
30,2020-07-01,18.83
31,2020-08-01,15.86
32,2020-09-01,12.26
33,2020-10-01,10.26
34,2020-11-01,8.18
35,2020-12-01,6.44
36,2021-01-01,5.92
37,2021-02-01,7.9
38,2021-03-01,12.29
39,2021-04-01,19.31
40,2021-05-01,21.93
41,2021-06-01,20.95
42,2021-07-01,18.98
43,2021-08-01,16.61
44,2021-09-01,14.19
45,2021-10-01,12.03
46,2021-11-01,10.99
47,2021-12-01,11.19
48,2022-01-01,22.68
49,2022-02-01,22.88
50,2022-03-01,22.01
51,2022-04-01,25.5
52,2022-05-01,23.06
53,2022-06-01,23.36
54,2022-07-01,21.76
55,2022-08-01,19.5
56,2022-09-01,17.34
57,2022-10-01,13.8
58,2022-11-01,11.82
59,2022-12-01,10.96
60,2023-01-01,11.28
61,2023-02-01,12.52
62,2023-03-01,13.4
63,2023-04-01,16.69
64,2023-05-01,25.45
65,2023-06-01,26.47
66,2023-07-01,26.03
67,2023-08-01,20.49
68,2023-09-01,18.31
69,2023-10-01,16.13
70,2023-11-01,13.86
71,2023-12-01,11.86
72,2024-01-01,9.868891
73,2024-02-05,7.767137
74,2024-03-04,7.743459
75,2024-04-01,8.892232
76,2024-05-06,7.820611
77,2024-06-03,6.686756
78,2024-07-01,5.250291
79,2024-08-05,3.45972
80,2024-09-02,2.243694
81,2024-10-07,1.265883
82,2024-11-04,0.696269
83,2024-12-02,0.607681
84,2025-01-15,13.057793
85,2025-02-01,19.584257
86,2025-03-01,25.746452
87,2025-04-01,27.052687
88,2025-05-01,25.189697
89,2025-06-01,25.339592
90,2025-07-01,24.80425
91,2025-08-01,22.416625
92,2025-09-01,17.497313
